"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
1993-01-01,1907,412,849,60,230,503,71,6708,135,155,416,129,211,41,751,756,34
1993-02-01,2302,474,1196,97,237,650,63,8304,125,187,582,131,228,30,866,1061,25
1993-03-01,2722,560,1331,74,257,824,49,9631,145,225,771,160,271,44,1042,1054,50
1993-04-01,2421,435,984,82,281,533,55,8108,148,224,565,141,213,47,835,1041,46
1993-05-01,2422,534,1091,92,274,597,74,8121,148,200,490,165,231,36,822,872,30
1993-06-01,2377,507,1029,87,255,489,76,7813,140,208,462,113,282,27,735,934,43
1993-07-01,2471,511,1018,76,276,505,74,7936,126,203,398,149,249,48,794,940,51
1993-08-01,2499,531,1076,80,305,542,90,8161,148,243,368,141,277,32,756,984,38
1993-09-01,2494,577,963,73,292,532,80,8040,149,185,382,136,263,39,835,953,36
1993-10-01,2284,471,844,65,248,431,65,7102,138,171,419,136,202,52,652,843,31
1993-11-01,2776,581,1025,74,285,627,65,8601,136,203,474,124,227,42,846,1026,33
1993-12-01,2067,441,801,64,252,453,52,6840,136,172,400,111,205,42,704,895,21
1994-01-01,2467,477,1128,86,238,542,69,8036,149,213,508,121,233,47,819,839,48
1994-02-01,2501,507,1294,94,269,753,79,9203,127,209,608,150,246,54,1039,1165,56
1994-03-01,3219,709,1660,108,328,1005,97,11622,188,254,919,164,331,51,1109,1351,53
1994-04-01,2315,519,983,61,246,568,67,7638,125,184,444,122,230,24,736,934,39
1994-05-01,2826,571,1165,74,308,550,93,8956,129,235,504,147,248,45,966,997,38
1994-06-01,2702,610,1128,78,304,585,82,8930,145,250,499,142,291,55,877,1066,52
1994-07-01,2484,581,977,95,337,479,73,8107,148,186,409,133,300,47,809,960,36
1994-08-01,3221,699,1297,82,319,582,93,9919,159,244,460,181,282,42,1020,1124,44
1994-09-01,3100,602,1171,82,364,573,87,9505,203,253,414,173,295,62,910,1116,34
1994-10-01,2413,553,1097,76,290,520,82,8019,130,204,475,150,239,44,719,921,38
1994-11-01,2692,654,1317,89,346,586,63,9072,137,209,504,164,268,46,937,958,46
1994-12-01,2373,420,913,80,263,528,72,7627,99,191,481,133,187,36,838,927,32
1995-01-01,2588,548,1086,83,318,531,74,8408,129,228,474,121,281,50,860,934,56
1995-02-01,2373,503,1326,92,335,787,68,9173,197,243,706,135,269,54,904,1087,42
1995-03-01,3406,768,1642,131,393,1125,90,12325,177,275,851,243,331,64,1237,1438,52
1995-04-01,2117,548,945,63,278,502,57,7270,120,193,481,124,200,39,753,759,31
1995-05-01,3628,814,1457,102,405,675,97,11350,186,266,642,191,316,72,1005,1340,70
1995-06-01,2705,643,1320,97,360,664,91,9591,168,269,542,186,359,41,939,1057,57
1995-07-01,3093,685,1293,104,406,590,89,9972,158,263,542,167,297,54,964,1133,54
1995-08-01,3198,686,1319,108,356,693,88,10175,186,263,500,174,338,62,977,1071,58
1995-09-01,2850,632,1219,92,393,576,93,9494,167,236,516,187,278,54,957,1138,48
1995-10-01,2929,612,1056,97,342,586,77,9071,175,252,496,176,248,50,876,991,41
1995-11-01,2953,644,1295,92,360,716,64,10054,185,226,629,165,288,75,1119,1114,45
1995-12-01,2640,429,1092,82,313,529,82,8081,158,152,481,111,179,38,837,855,28
1996-01-01,2684,611,1150,94,332,565,70,8996,141,238,546,136,290,50,960,1001,53
1996-02-01,3586,832,1707,117,452,917,89,12729,234,293,958,200,357,71,1227,1497,68
1996-03-01,3377,721,1639,89,402,879,97,11556,164,251,858,195,229,62,1176,1244,69
1996-04-01,3050,677,1322,82,316,702,88,9988,147,238,612,174,299,54,1033,1070,36
1996-05-01,4101,944,1647,123,479,806,115,13053,235,350,720,217,349,71,1281,1430,60
1996-06-01,3242,748,1241,88,399,603,98,10306,156,241,596,199,267,48,1057,1160,50
1996-07-01,3646,824,1371,106,437,695,124,11435,217,281,596,237,346,63,1110,1243,55
1996-08-01,3494,742,1323,85,398,752,106,11093,187,285,514,227,293,77,1185,1274,48
1996-09-01,3447,744,1416,110,374,594,85,10639,169,231,469,164,385,55,1060,1159,65
1996-10-01,3404,699,1245,85,408,618,92,10543,178,265,608,179,322,78,1003,1210,60
1996-11-01,3295,619,1209,115,425,711,98,10359,185,228,551,169,305,51,1099,1147,49
1996-12-01,3394,694,1386,104,394,713,98,10771,150,318,610,180,320,49,1036,1136,59
1997-01-01,2837,664,1317,91,345,583,83,9930,162,219,677,182,254,51,1102,1208,76
1997-02-01,3757,759,1800,141,439,898,88,12618,171,332,865,163,353,83,1285,1309,68
1997-03-01,3563,811,1710,100,386,900,106,11780,177,258,770,177,292,60,1107,1228,45
1997-04-01,4063,822,1580,115,362,767,98,12593,191,305,800,193,349,71,1281,1431,61
1997-05-01,3826,922,1568,151,464,724,120,12341,167,359,689,247,324,95,1280,1271,67
1997-06-01,3770,731,1440,98,443,599,94,11422,179,259,607,202,334,71,1140,1307,80
1997-07-01,4201,866,1523,136,438,758,118,12460,207,348,612,209,367,75,1168,1300,54
1997-08-01,3811,793,1438,140,368,666,104,11512,158,306,516,205,336,67,1121,1329,72
1997-09-01,3940,795,1567,125,411,809,109,11915,194,328,464,161,311,55,1180,1320,57
1997-10-01,3849,820,1369,125,366,605,113,11264,190,310,510,190,296,75,1058,1272,43
1997-11-01,3606,733,1365,113,348,610,93,11021,133,304,522,176,319,51,1204,1321,53
1997-12-01,3880,778,1512,114,359,679,105,11540,188,293,531,186,282,78,1057,1322,53
1998-01-01,3154,693,1480,112,405,592,84,10627,187,248,711,153,228,69,1049,1347,51
1998-02-01,4279,774,1844,131,403,973,124,13387,200,324,767,185,364,89,1343,1432,74
1998-03-01,4426,938,2021,117,386,1022,131,14449,218,357,992,186,334,84,1422,1673,60
