"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
1993-01-01,184,133,138,119,128,133,131,146,145,117,132,92,118,129,126,160,98
1993-02-01,183,134,142,118,131,132,125,149,147,118,145,97,114,135,126,165,88
1993-03-01,180,132,141,115,132,134,129,149,145,113,152,88,131,119,126,166,100
1993-04-01,183,131,136,117,132,130,127,148,146,117,142,91,120,130,125,165,101
1993-05-01,187,135,138,116,136,124,125,148,150,117,133,97,120,149,127,168,94
1993-06-01,181,134,140,119,135,131,124,148,150,116,125,98,122,136,128,166,98
1993-07-01,189,133,140,125,132,127,128,150,145,111,132,97,118,121,125,167,100
1993-08-01,188,136,136,123,138,123,127,149,148,116,137,94,125,138,125,161,103
1993-09-01,188,135,139,123,144,126,130,150,149,116,135,101,120,140,127,165,91
1993-10-01,190,137,137,127,136,130,132,152,150,115,149,92,119,132,130,163,108
1993-11-01,188,137,141,121,138,132,129,153,154,120,152,102,124,135,130,161,109
1993-12-01,195,136,137,130,138,138,137,156,148,122,152,108,131,137,134,171,110
1994-01-01,193,142,143,128,136,136,134,154,148,123,140,100,126,125,131,169,98
1994-02-01,193,139,144,130,135,140,125,153,150,115,145,97,123,130,129,172,92
1994-03-01,198,137,145,124,138,140,131,156,151,122,148,101,123,134,130,170,106
1994-04-01,197,141,144,133,139,139,130,156,150,122,142,103,126,144,128,170,101
1994-05-01,201,144,142,136,142,129,126,157,151,123,147,105,123,126,131,167,102
1994-06-01,203,144,143,129,138,130,129,157,151,122,141,100,128,132,133,169,111
1994-07-01,203,144,141,134,140,127,135,157,152,125,142,102,133,127,132,166,111
1994-08-01,202,140,142,131,140,127,132,158,151,126,139,106,126,141,134,171,110
1994-09-01,205,143,141,128,141,131,131,159,156,124,137,105,131,142,130,173,107
1994-10-01,206,145,143,131,140,129,132,159,153,124,164,106,128,139,132,169,116
1994-11-01,211,145,146,134,141,133,137,161,157,126,155,110,129,138,134,173,120
1994-12-01,217,145,150,134,141,130,131,164,147,131,148,104,126,143,138,175,118
1995-01-01,214,145,151,137,141,136,140,164,148,126,156,109,134,137,138,176,106
1995-02-01,220,148,153,129,140,139,134,162,153,124,146,111,122,129,138,175,102
1995-03-01,220,147,149,134,143,147,141,165,149,127,152,105,127,127,137,178,108
1995-04-01,221,145,152,138,144,133,129,165,159,123,155,109,129,145,140,173,110
1995-05-01,227,150,152,135,147,133,136,170,158,128,152,107,128,133,140,178,117
